year,April,Aug,Dec,Feb,Jan,July,June,Mar,May,Nov,Oct,Sep
2006,5.19535384615385,4.42171794871795,6.79895808383234,8.35591150442478,7.77456038647343,4.72499259259259,4.10455072463768,6.68386909090909,4.69831178707224,6.77590384615385,7.53799212598425,4.85766197183099
2007,5.5301897810219,4.96243636363636,5.62448459383754,4.2938231292517,6.93552702702703,3.25533333333333,4.09898734177215,6.6615761589404,4.73859047619048,6.41020469083156,5.53496842105263,3.66956962025316
2008,5.08823021582734,4.08453435114504,8.64454545454546,5.75791739130435,5.23178571428571,4.10166834170854,3.89645161290323,5.87965853658537,4.93974025974026,7.26600373134328,4.19040677966102,5.32504
2009,5.96515708812261,6.23009395973154,7.62900606060606,6.55637686567164,7.41524858757062,5.37508527131783,5.18304433497537,6.06656762749446,5.57019565217391,6.77103937007874,6.52243406593407,4.89848192771084
2010,5.48362921348315,6.61775,5.63110931174089,5.56727572016461,5.38009977324263,4.34697142857143,4.58731182795699,5.23141610738255,4.90727687296417,7.65406754221388,6.3118256880734,6.87740495867769
2011,4.74932234432234,5.25317431192661,5.29109711286089,5.03486363636364,7.07264,3.97493333333333,4.25638202247191,6.59561344537815,3.67931073446328,6.118,5.17201384083045,4.10172
2012,4.55772431077694,4.25561764705882,7.16560215053764,6.03243956043956,4.84952759381898,4.71038805970149,3.99298657718121,6.26273037542662,4.38584045584046,6.88828762541806,5.3710404040404,3.6669512195122
2013,9.07058823529412,8.44320588235294,8.73473206176204,4.82433695652174,6.02486075949367,7.43986861313869,9.7599706744868,6.26794444444445,7.7136389380531,10.7361600928074,10.5981223922114,8.26856647398844
2014,6.95006396063961,8.48448868778281,8.12049589041096,7.6002740348221,7.73608485856905,7.34895501730104,9.11443309002433,7.81805915267786,8.71705094614265,9.42171698113208,10.0658333333333,9.49657992565056
2015,6.15181709145427,7.44076190476191,6.4820288184438,8.38549686847599,6.86573755656109,7.55219298245614,5.96794011976048,7.59420879120879,8.35703529411765,8.507728,10.3592255639098,8.9748431372549
2016,5.48266666666667,4.31130612244898,8.03560442600277,6.59337931034483,6.0370964028777,6.77284651162791,6.10444086021505,5.47136040609137,5.12270192307692,10.960391025641,12.2663050847458,10.28
2017,7.20571338582677,10.4032905405405,6.85557431629013,7.58182044887781,7.67030359520639,10.0816140350877,11.5889440993789,7.05822680412371,9.51288739495798,8.734402,12.3898689956332,12.4484981132075
2018,7.17393074792244,7.9138275862069,7.4545711790393,7.33388375558867,8.75648920863309,6.20528497409327,8.62003278688525,4.9961646090535,9.65417027027027,9.43054252461952,10.9115304878049,8.21817233560091
2019,8.80773567251462,7.08241947565543,7.55692349726776,7.68860048038431,6.89401578192253,9.10818652849741,6.750265625,8.96655437921078,8.3730460704607,9.16464830841857,9.27732586786114,8.68165548098434
2020,8.17034065934066,7.45050485436893,7.05534808853119,6.57129230769231,6.30847491039427,7.32089719626168,5.98541119221411,6.64749258391881,7.8815475,6.47505700712589,6.93205405405405,6.02408
2021,7.49127659574468,8.38968498168498,9.61470565302144,7.22595885714286,7.09338324420677,9.90084155844156,8.93185142857143,6.48119733333333,7.36892565055762,9.93826449275362,11.21548,8.25529520295203
