term,estimate,std.error,statistic,p.value
(Intercept),-0.7384715300344531,0.3981240218182975,-1.854878102209791,0.06361363566080454
Email_25,0.5953352320240638,0.13580360753253579,4.383795414870946,1.1662930867314489e-5
Email_Taxi,0.21488065457449682,0.1403306315155764,1.5312455467047872,0.12570871791772892
Gmail,0.2894480712161851,0.13740994781288915,2.1064564525584855,0.035164722017272235
yahoo,-0.17348654721564646,0.17873886198379227,-0.9706145898555509,0.3317402378686031
Edu,0.5145412916529161,0.1845378639421699,2.7882694676370696,0.00529904466874754
AlaskaFF,0.28592583742652083,0.1116994390399165,2.5597786334839463,0.010473885606212126
Add_Ore,-0.3410347051582263,0.12618556070651313,-2.7026444487687225,0.006879028707826488
Add_Eug,-1.567496544562873,0.15254927931010992,-10.275345459852264,9.101776565676026e-25
Age,-0.050030179212378414,0.007041888769861866,-7.104653431405991,1.2062484701513839e-12
Tickets,-0.035545048425792106,0.05265491063493307,-0.6750566660768446,0.4996397637258938
RoundTrip,0.4735838039161719,0.2062785506792408,2.2958460894588386,0.021684683111024186
