X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
"","",2017/18,"","",2018/19,"","",R 2019/20,"","","",R 2020/21,"","",P31/12/2021,"",""
"",USD,"",ETB,USD,"",ETB,USD,"",ETB,"",USD,"",ETB,"",USD,ETB,""
GRAND TOTAL,"25,812.10","","703,692.23","27,076.20","","782,938.08","28,894.61","","1,010,796.97","","29,497.99","","1,288,795.90","","28,926.94   1,423,020.00","",""
CENTRAL GOVERNMENT,"14,751.24","","402,149.95","15,973.94","","461,903.83","18,037.51","","630,991.84","","19,490.92","","851,577.32","","19,371.44 952,950.60","",""
OFFICIAL CREDITORS,"13,741.52","","374,622.80","14,964.21","","432,706.60","17,027.79","","595,669.53","","18,481.20","","807,461.61","","18,361.72 903,278.74","",""
MULTILATERALS,"10,260.12","","279,712.44","11,500.38","","332,545.87","13,320.10","","465,966.55","","14,533.65","","634,989.73","","14,489.71 712,800.63","",""
Concessional,"10,257.77","","279,648.29","11,486.61","","332,147.97","13,189.39","","461,394.15","","14,314.74","","625,425.25","","14,260.51 701,525.66","",""
Non-concessional,"",2.35,64.15,13.76,"",397.91,130.71,"","4,572.40","",218.91,"","9,564.48","",229.20,"11,274.97",""
BILATERALS,"3,481.40","","94,910.36","3,463.84","","100,160.73","3,707.69","","129,702.98","","3,947.54","","172,471.88","","3,872.01 190,478.11","",""
ODA,"3,283.56","","89,516.92","3,266.00","","94,440.07","3,509.85","","122,782.22","","3,749.71","","163,828.20","","3,674.18 180,745.82","",""
Non-ODA,197.84,"","5,393.44",197.84,"","5,720.66",197.84,"","6,920.76","",197.84,"","8,643.68","",197.84,"9,732.29",""
PRIVATE CREDITORS,"1,009.72","","27,527.15","1,009.72","","29,197.23","1,009.72","","35,322.31","","1,009.72","","44,115.71","","1,009.72","49,671.86",""
Commercial Banks,"","","","","","","","","","","","","","","","",""
Suppliers,"",9.72,265.05,"",9.72,281.13,"",9.72,340.11,"","",9.72,424.71,"",9.72,478.26,""
Bond and Note holders,"1,000.00","","27,262.10","1,000.00","","28,916.10","1,000.00","","34,982.20","","1,000.00","","43,691.00","","1,000.00","49,193.60",""
GOV.GUARANTEED,"7,563.75","","206,203.61","7,290.08","","210,800.60","7,242.40","","253,355.09","","6,671.69","","291,492.96","","6,394.54 314,570.27","",""
OFFICIAL CREDITORS,"4,995.56","","136,189.51","4,903.04","","141,776.91","5,043.61","","176,436.64","","4,705.02","","205,566.89","","4,575.33 225,077.09","",""
MULTILATERALS,"",91.33,"2,489.76",38.10,"","1,101.82",314.06,"","10,986.57","",319.79,"","13,972.08","",313.30,"15,412.42",""
2,"","","","","","","","","","","","","","","","",""
Concessional,"",91.33,"2,489.76",38.10,"","1,101.82",314.06,"","10,986.57","",319.79,"","13,972.08","",313.30,"15,412.42",""
Non-concessional,"","","","","","","","","","","","","","","","",""
BILATERALS,"4,904.24","","133,699.74","4,864.94","","140,675.09","4,729.55","","165,450.07","","4,385.22","","191,594.81","","4,262.03 209,664.67","",""
ODA,"","","","","","","","","","","","","","","","",""
Non-ODA,"4,904.24","","133,699.74","4,864.94","","140,675.09","4,729.55","","165,450.07","","4,385.22","","191,594.81","","4,262.03 209,664.67","",""
PRIVATE CREDITORS,"2,568.18","","70,014.10","2,387.03","","69,023.69","2,198.79","","76,918.45","","1,966.68","","85,926.07","","1,819.20","89,493.18",""
Commercial Banks,"1,634.74","","44,566.51","1,544.75","","44,668.13","1,409.65","","49,312.83","","1,240.57","","54,201.75","","1,114.32","54,817.49",""
Suppliers,933.44,"","25,447.59",842.28,"","24,355.56",789.13,"","27,605.61","",726.11,"","31,724.32","",704.88,"34,675.69",""
NON-GOV. GUARANTEED,"3,497.12","","95,338.67","3,812.19","","110,233.65","3,614.70","","126,450.04","","3,335.37","","145,725.62","","3,160.97 155,499.13","",""
OFFICIAL CREDITORS,357.79,"","9,754.20",329.49,"","9,527.64",323.66,"","11,322.37","",280.36,"","12,249.04","",249.56,"12,276.83",""
MULTILATERALS,145.01,"","3,953.39",131.20,"","3,793.88",153.49,"","5,369.50","",132.08,"","5,770.77","",121.55,"5,979.64",""
Concessional,"",-,-,"",-,-,"",-,"",-,"",-,"",-,-,"",-
Non-concessional,145.01,"","3,953.39",131.20,"","3,793.88",153.49,"","5,369.50","",132.08,"","5,770.77","",121.55,"5,979.64",""
BILATERALS,212.78,"","5,800.82",198.29,"","5,733.76",170.17,"","5,952.87","",148.27,"","6,478.27","",128.01,"6,297.19",""
ODA,"",-,-,"",-,-,"",-,"",-,"",-,"",-,"","",""
Non-ODA,212.78,"","5,800.82",198.29,"","5,733.76",170.17,"","5,952.87","",148.27,"","6,478.27","",128.01,"6,297.19",""
PRIVATE CREDITORS,"3,139.32","","85,584.47","3,482.70","","100,706.01","3,291.04","","115,127.67","","3,055.02","","133,476.58","","2,911.40 143,222.29","",""
Commercial Banks,"1,805.48","","49,221.04","2,374.70","","68,667.08","2,381.22","","83,300.04","","2,361.92","","103,194.48","","2,313.50 113,809.11","",""
Suppliers,"1,333.85","","36,363.42","1,108.00","","32,038.92",909.82,"","31,827.63","",693.10,"","30,282.10","",597.91,"29,413.18",""
