ID,Age,Sleep,BMI
1,24,8,23.6
2,26,7,24.1
3,28,8,25.3
4,29,6,26.7
5,33,8,26.2
6,28,10,25.4
7,19,6,22.7
8,27,6,25.4
9,18,6,19.7
10,36,8,28.2
11,32,6,31.1
12,18,8,22
13,19,5,30.7
14,18,7,20.9
15,21,8,23.7
16,23,8,19.2
17,28,9,24.8
18,20,7,25.6
19,35,6,30.1
20,38,7,30.7
21,39,10,25.8
22,18,6,24.4
23,36,9,27.1
24,19,10,23.9
25,20,8,24.6
26,28,7,34.5
27,39,9,32.1
28,36,8,30.7
29,27,8,34.2
30,20,7,24.9
31,19,6,22.3
32,28,8,26.4
33,36,7,23.7
34,28,6,34.1
35,37,6,25.1
36,36,7,24.1
37,28,9,30
38,36,6,28.4
39,20,7,26.4
40,35,6,25.8
41,34,9,24.8
42,33,7,34.8
43,18,8,24.7
44,38,6,26.3
45,33,8,25.8
46,19,8,30.1
47,38,9,23.7
48,19,6,24.6
49,33,7,26.7
50,26,9,28.4
51,22,7,20.4
52,27,8,30.1
53,22,8,27.8
54,20,6,26.5
55,27,7,30.8
56,38,6,28.7
57,36,5,32.7
58,22,8,23.4
59,27,6,26.1
60,20,6,24.5
61,19,5,21.6
62,37,6,27.8
63,25,8,25.3
64,24,6,26.7
65,26,8,23.4
66,28,9,25.7
67,27,6,26.7
68,19,10,18
69,18,9,23.7
70,18,8,26.7
71,25,7,28.8
72,30,6,29.6
73,32,8,30.7
74,37,7,33.8
75,32,6,32.4
76,31,5,36.5
77,18,9,24.7
78,20,8,23.2
79,25,8,20.4
80,24,9,26.1
81,26,8,25.4
82,23,7,29.4
83,27,6,30.3
84,28,7,24.7
85,23,9,27.6
86,29,10,28.8
87,28,9,26.7
88,30,6,31.1
89,27,5,28.7
90,33,8,35.2
91,28,6,25.9
92,34,5,33.1
93,39,8,25.8
94,20,9,24.4
95,21,10,25.8
96,33,8,21.4
97,30,6,32.8
98,36,7,35
99,34,6,25.7
100,28,7,26.4
101,24,8,27.1
102,22,6,22.7
103,32,6,25.4
104,34,6,32.6
105,36,7,29.7
106,31,8,27.2
107,25,9,25.2
108,20,5,21.7
109,34,8,26.1
110,31,9,24.7
111,28,8,26.8
112,20,8,25.1
113,29,6,30.1
114,37,8,28.3
115,33,8,22.7
116,22,10,26.6
117,27,8,25.1
118,20,9,24.1
119,36,8,35.8
120,24,6,23.6
121,19,8,27.2
122,36,9,23.6
123,25,6,20.9
124,24,9,22.7
125,33,8,23.8
126,24,6,25.7
127,28,5,30.1
128,27,10,23.4
129,23,6,26.2
130,26,9,25.2
131,34,8,30.7
132,26,5,23.8
133,28,9,26.7
134,20,5,23.7
135,37,8,26.4
136,36,7,29.8
137,33,6,30.4
138,21,8,23.1
139,24,9,24.6
140,21,6,30.8
141,28,5,27.5
142,29,7,26
143,30,8,29.7
144,28,7,32.5
145,26,6,21.8
146,34,8,26.6
147,35,9,22.4
10,36,8,28.2
11,32,6,31.1
12,18,8,22
41,34,9,24.8
42,33,7,34.8
43,18,8,24.7
